id,dialect,text
barras.wav,coastal," Si haces 21 barras de cualquier tipo. Te llevas un antitranspirante rexona. ¿Están listos? ¡Va! ¿Cuál es tu nombre? Me llamo Andy. Ande, Ande. Miguel. ¿Tú crees que te puedes hacer 21 barritas? Sí. Y te llevas uno de nuestros rexona. ¡Guau! 13. ¡A ver! ¡21! ¡Bien! ¡Lo has hecho rápido! Aquí tienes tu rexona forest. Aquí está tu premio. Porque rexona te sigue protegiendo cuando otros te abandonan."
child.wav,andean," Hay contaminación en todo lugar. Me duele que me mareo mi cabeza."
patinaje.wav,coastal," Tres cosas que no sabias del patinaje. 1 Te mantiene en forma. Puedes quemar hasta 300 calorías solo con 30 minutos de patinaje. 2 Fortalecimiento muscular. El patinaje implica todos los músculos del cuerpo especialmente piernas y gluteos. 3 Favorece la salud mental. Ayuda la liberación de endorfinas. Sustancias que producen la felicidad e euforia ¿Acaso alguna vez viste un patinador triste?"
restaurantes2.wav,coastal," ¿Se imaginan un restaurante que no tenga carta? Aquí les contamos todo sobre Piedra. Ubicado en Surquillo. Piedra tiene una propuesta de cocina libre donde los platos van variando todos los días. Así al llegar te vas enterando de qué vas a comer. Mientras te lo van trayendo a la mesa. Y aquí les contamos los platos que nos tocaron. En nuestra visita comenzamos con estos conitos rellenos de tartar de atún y con pulpa de cangrejo. Nos trajeron también este tiradito de charela con láminas de palta y leche de tigre que estaba buenazo. Y este erizo con leche de tigre de tumbo que la verdad nos sorprendió un montón. También nos tocó este sashimi de trucha que es mitad cocido y mitad crudo. Y este ceviche con pulpo y chicharrón de calamar. Nos sirvieron también este pulpo al wok con un majado de yuca. Estuvo muy rico. Y como último plato tuvimos este bonito iponzu de mandarina y maracuyá. Estuvo súper refrescante, perfecto para este calor. Nosotros nos animamos por un postre para cerrar la experiencia. Que fue este amelcochado de chirimoya. Y la verdad es que nos encantó el concepto del lugar. Como son varios platos que de gustar les recomendamos venir en grupo. Pero sin lugar a dudas un excelente plan si su bolsillo hoy está a modo pudiente. Así que no  se lo pueden perder."
ropa.wav,coastal," Te tengo un datazo. Si estás buscando vestidos frescos como este para este verano. Sigue viendo este video. Acabo de descubrir esta tienda ubicada en Miguel Dazzo que trae vestidos desde Italia. Miren qué preciosos sueltos. Y para este calor que está terrible. Realmente amé. También tenían estos enterizos súper sueltitos. Son la perfecta opción para cuando no sabes qué ponerte. Y quieres vestirte bien. Encontré una variedad increíble desde vestidos elegantes hasta vestidos súper casuales. Miren este qué hermoso con la espalda, calata. Y también vestiditos de lino. Me encantó porque habían vestidos para todo tipo de gusto desde vestidos coloridos, vestidos neutrales con diferentes prints y súper clásicos también. Yo fui exclusivamente en busca de vestidos. Pero tenían otro tipo de prendas como falditas, tops y demás. Te dejo la dirección. Por si necesitabas este dato."
speaker1.wav,andean," ¿Quién va a querer quedarse acá a perjudicarse? Quizás más antes no nos hemos dado cuenta, pero ahora ya pues... Nosotros que estamos más cerca, estamos más perjudicados. Todos nos han acorralado con su desmonte, todo ese era libre."
speaker2.wav,andean," El Ministerio de Salud no tiene sus instrumentos de cómo va a salir adelante en base a una persona que está contaminada con metales pesados. No lo tiene. Tengo problemas articulares. Lo que falta es un servicio de agua potable. ¿no? Limpio, puro nunca ha tenido pasco. El problema es que las autoridades nunca han querido aplicar en contra de la minería. Porque ellos han estado siempre ligados a los poderes de ese tipo.  Y obviamente se han ido con bolsillos llenos. La laguna de Quiulacocha y el de Yanamate son recursos que en estos momentos ha sido contaminado gracias a la participación de la minería."
speaker3.wav,andean," Si hay un sitio a donde podemos irnos. ¿cómo voy a solventar, comprar? Verme otra casa en otro sitio. Yo sí estaría llano y listo para poder irme cuando se me dice."
speaker4.wav,andean," Hoy en el día nos encontramos nosotros contaminados por este cerro artificial. Nos está matando la minería, más por ejemplo esos restos que están botando ahí son tremendos olores para nosotros. Este cerro artificial ya es peor, ya es que está viendo la comisión. Llegar a esos pasos todavía no puedo esperar yo que se enferman mis hijos. Pobre siquiera pero sano."
speaker6.wav,andean," Yo sí estaría llano y listo para poderme ir no. Cuando se me dice."
