id,text

barras.wav," Si haces 21 barras de cualquier tipo, te llevas un antitranspirante rexona. ¿Están listos? ¡Va! ¿Cuál es tu nombre? Me llamo Ande. Ande, Ande. Miguel. ¿Tú crees que te puedes hacer 21 barritas? Sí. Y te llevas uno de nuestros rexona. ¡Guau! 13. ¡A ver! ¡21! ¡Bien! ¡Lo has hecho rápido! Aquí tienes tu rexona forest. Aquí está tu premio porque rexona te sigue protegiendo cuando otros te abandonan."

child.wav, Hay contaminación en todo el lugar. Me duele que me mareo mi cabeza.

patinaje.wav," Tres cosas que no se olviden al patinaje 1. Te mantiene en forma Puedes quemar hasta 300 calorías solo con 30 minutos de patinaje 2. Fortalecimiento muscular El patinaje implica todos los músculos del cuerpo especialmente piernas y lucios 3. Favorece la salud mental Ayuda la liberación de endocrinas, sustancias que producen la felicidad e euforia ¿Acaso alguna vez viste un patinador triste?"

restaurantes2.wav," ¿Se imaginan un restaurante que no tenga carta? Aquí les contamos todo sobre Piedra. Ubicado en Surquillo, Piedra tiene una propuesta de cocina libre donde los platos van variando todos los días. Así al llegar te vas enterando de qué vas a comer mientras te lo van trayendo a la mesa. Y aquí les contamos los platos que nos tocaron. En nuestra visita comenzamos con estos conitos rellenos de tartar de atún y con pulpa de cangrejo. Nos trajeron también este tiradito de charela con láminas de palta y leche de tigre que estaba buenazo. Y este erizo con leche de tigre de tumbo que la verdad nos sorprendió un montón. También nos tocó este sashimi de trucha que es mitad cocido y mitad crudo. Y este ceviche con pulpo y chicharrón de calamar. Nos sirvieron también este pulpo alhuoc con un majado de yuca que estuvo muy rico. Y como último plato tuvimos este bonito iponzu de mandarina y maracuyá. Estuvo súper refrescante, perfecto para este calor. Nosotros nos animamos por un postre para cerrar la experiencia que fue este amelcochado de chirimoya. Y la verdad es que nos encantó el concepto del lugar. Como son varios platos que de usar les recomendamos venir en grupo. Pero sin lugar a dudas un excelente plan si su bolsillo hoy está a modo pudiente. Así que no se lo pueden perder."

ropa.wav," Te tengo un tatazo, si estás buscando vestidos frescos como este para este verano sigue viendo este video. Acabo de descubrir esta tienda ubicada en Miguel Dazzo que trae vestidos desde Italia. Miren qué preciosos sueltos y para este calor que está terrible, realmente amé. También tenían estos enterizos súper sueltitos y son la perfecta opción para cuando no sabes qué ponerte, quieres vestirte bien. Encontré una variedad increíble desde vestidos elegantes hasta vestidos súper casuales. Miren qué hermoso con la espalda, calata. Y también vestiditos de lino. Me encantó porque habían vestidos para todo tipo de gusto desde vestidos coloridos, vestidos neutrales con diferentes prints y súper clásicos también. Yo fui exclusivamente en busca de vestidos pero tenían otro tipo de prendas como falditas, tops y demás. Te dejo la dirección por si necesitabas este dato."

speaker1.wav," ¿Quién va a querer quedarse acá a perjudicarse? Quizás más antes no nos hemos dado cuenta, pero ahora ya pues... Nosotros que estamos más cerca, estamos más perjudicados. Todos nos han acorralado con su desmonte, todo ese era libre."

speaker2.wav," El Ministerio de Salud no tiene sus instrumentos de cómo va a salir adelante en base a una persona que está contaminada con metales pesados. No lo tiene. Tengo problemas articulares. Lo que falta es un servicio de agua potable, ¿no? Limpio, puro, y nunca he tenido paz. El problema es que las autoridades nunca han querido aplicar en contra de la minería porque ellos han estado siempre ligados a los poderes de ese tipo y obviamente se han vivido con un pocillo lleno. La laguna de Quiblacocha y el de Yanamate son recursos que en estos momentos ha sido contaminado gracias a la participación de la minería."

speaker3.wav," Si hay un sitio a donde podemos irnos, ¿cómo voy a solventar, comprar, ver mi otra casa en otro sitio? Yo sí estaría llano y listo para poder irme cuando se me dice."

speaker4.wav," Hoy en el día nos encontramos nosotros contaminados por este cerro artificial. Nos está matando la minería, más por ejemplo esos rícitos que están botando ahí son tremendos olores para nosotros. Este cerro artificial ya es peor, ya es que está bien la comisión. Llegar a esos pasos todavía no puedo esperar yo que se enferman mis hijos. Pobre siquiera pero sano."

speaker6.wav, Yo sí estaría llano y listo para poder millir cuando se me dice.

